source_roi,target_roi,presence_rate
posteriorcingulate-lh,caudalmiddlefrontal-lh,0.8689567430025446
posteriorcingulate-rh,caudalmiddlefrontal-lh,0.863657090743274
precentral-lh,caudalmiddlefrontal-lh,0.6666666666666665
precentral-rh (-0.26),caudalmiddlefrontal-lh,0.0
precuneus-lh,caudalmiddlefrontal-lh,0.9444444444444443
precuneus-rh,caudalmiddlefrontal-lh,0.861111111111111
rostralanteriorcingulate-lh (-0.27),caudalmiddlefrontal-lh,0.0
rostralanteriorcingulate-lh (-0.33),caudalmiddlefrontal-lh,0.0
rostralanteriorcingulate-rh (-0.32),caudalmiddlefrontal-lh,0.0
rostralmiddlefrontal-lh,caudalmiddlefrontal-lh,0.8055555555555555
rostralmiddlefrontal-rh (-0.29),caudalmiddlefrontal-lh,0.0
superiorfrontal-lh (-0.25),caudalmiddlefrontal-lh,0.0
superiorparietal-lh (-0.34),caudalmiddlefrontal-lh,0.0
superiorparietal-rh,caudalmiddlefrontal-lh,0.9444444444444445
superiortemporal-lh,caudalmiddlefrontal-lh,0.9166666666666666
superiortemporal-rh (-0.32),caudalmiddlefrontal-lh,0.8611111111111112
supramarginal-lh (-0.36),caudalmiddlefrontal-lh,0.0
temporalpole-lh (-0.21),caudalmiddlefrontal-lh,0.0
temporalpole-rh (-0.30),caudalmiddlefrontal-lh,0.8611111111111112
bankssts-rh (-0.23),caudalmiddlefrontal-rh (-0.38),0.0
bankssts-rh (-0.29),caudalmiddlefrontal-rh (-0.38),0.0
caudalanteriorcingulate-lh (-0.38),caudalmiddlefrontal-rh (-0.38),0.0
caudalanteriorcingulate-rh (-0.33),caudalmiddlefrontal-rh (-0.38),0.0
caudalmiddlefrontal-lh,caudalmiddlefrontal-rh (-0.38),0.0
cuneus-lh,caudalmiddlefrontal-rh (-0.38),0.0
entorhinal-lh,caudalmiddlefrontal-rh (-0.38),0.0
entorhinal-lh (-0.35),caudalmiddlefrontal-rh (-0.38),0.0
entorhinal-rh,caudalmiddlefrontal-rh (-0.38),0.0
entorhinal-rh (-0.27),caudalmiddlefrontal-rh (-0.38),0.0
frontalpole-rh (-0.28),caudalmiddlefrontal-rh (-0.38),0.0
fusiform-rh (-0.23),caudalmiddlefrontal-rh (-0.38),0.0
fusiform-rh (-0.24),caudalmiddlefrontal-rh (-0.38),0.0
inferiorparietal-lh,caudalmiddlefrontal-rh (-0.38),0.0
inferiorparietal-rh (-0.26),caudalmiddlefrontal-rh (-0.38),0.0
inferiortemporal-lh (-0.29),caudalmiddlefrontal-rh (-0.38),0.0
inferiortemporal-lh (-0.30),caudalmiddlefrontal-rh (-0.38),0.0
insula-lh,caudalmiddlefrontal-rh (-0.38),0.0
lateraloccipital-lh (-0.31),caudalmiddlefrontal-rh (-0.38),0.0
lateraloccipital-rh,caudalmiddlefrontal-rh (-0.38),0.0
lateraloccipital-rh (-0.29),caudalmiddlefrontal-rh (-0.38),0.0
lateralorbitofrontal-lh,caudalmiddlefrontal-rh (-0.38),0.0
lateralorbitofrontal-lh (-0.27),caudalmiddlefrontal-rh (-0.38),0.0
lateralorbitofrontal-rh (-0.25),caudalmiddlefrontal-rh (-0.38),0.0
lingual-lh,caudalmiddlefrontal-rh (-0.38),0.0
lingual-lh (-0.34),caudalmiddlefrontal-rh (-0.38),0.0
lingual-rh (-0.28),caudalmiddlefrontal-rh (-0.38),0.0
medialorbitofrontal-lh,caudalmiddlefrontal-rh (-0.38),0.0
medialorbitofrontal-rh,caudalmiddlefrontal-rh (-0.38),0.0
middletemporal-rh (-0.30),caudalmiddlefrontal-rh (-0.38),0.0
