source,target,mean_diff,p,perms,rank,q
10,12,0.0,1.0,20000,487,1.0
11,12,0.08333333333333326,1.0,20000,288,1.0
13,12,-0.16666666666666663,0.47427628618569073,20000,114,1.0
14,12,-0.16666666666666663,0.5837208139593021,20000,132,1.0
15,12,-0.08333333333333337,1.0,20000,398,1.0
16,12,-0.08333333333333331,1.0,20000,411,1.0
17,12,-0.16666666666666663,0.48297585120743963,20000,128,1.0
18,12,0.0,1.0,20000,440,1.0
19,12,-0.08333333333333337,1.0,20000,243,1.0
20,12,-0.08333333333333337,1.0,20000,432,1.0
21,12,-0.25,0.3088845557722114,20000,60,1.0
22,12,0.08333333333333326,1.0,20000,495,1.0
0,13,-0.16666666666666663,0.5968201589920504,20000,172,1.0
1,13,0.0,1.0,20000,259,1.0
2,13,0.08333333333333326,1.0,20000,230,1.0
3,13,0.4166666666666667,0.10099495025248738,20000,28,1.0
4,13,0.25,0.21658917054147292,20000,55,1.0
5,13,0.0,1.0,20000,376,1.0
6,13,0.08333333333333337,1.0,20000,352,1.0
7,13,0.08333333333333337,1.0,20000,309,1.0
8,13,0.08333333333333326,1.0,20000,462,1.0
9,13,0.0,1.0,20000,474,1.0
10,13,-0.16666666666666663,0.4750262486875656,20000,115,1.0
11,13,-0.08333333333333326,1.0,20000,289,1.0
12,13,0.08333333333333337,1.0,20000,328,1.0
14,13,-0.33333333333333337,0.09304534773261337,20000,19,1.0
15,13,0.25,0.3176341182940853,20000,71,1.0
16,13,-0.08333333333333337,1.0,20000,412,1.0
17,13,-0.08333333333333326,1.0,20000,424,1.0
18,13,-0.16666666666666663,0.5861206939653018,20000,140,1.0
19,13,0.0,1.0,20000,244,1.0
20,13,-0.08333333333333326,1.0,20000,433,1.0
21,13,-0.08333333333333337,1.0,20000,275,1.0
22,13,-0.08333333333333337,1.0,20000,496,1.0
0,14,0.08333333333333337,1.0,20000,255,1.0
1,14,0.16666666666666663,0.5934703264836758,20000,165,1.0
2,14,0.16666666666666663,0.5859707014649268,20000,138,1.0
3,14,0.25000000000000006,0.41412929353532324,20000,109,1.0
4,14,0.25,0.368281585920704,20000,83,1.0
5,14,-0.08333333333333337,1.0,20000,377,1.0
6,14,0.08333333333333326,1.0,20000,314,1.0
7,14,0.16666666666666663,0.5879206039698015,20000,144,1.0
8,14,0.25,0.31328433578321085,20000,62,1.0
9,14,0.0,1.0,20000,475,1.0
