source,target,mean_diff,p,perms,rank,q
9,12,0.16666666666666663,0.5863206839658017,20000,134,1.0
10,12,0.25,0.3750812459377031,20000,91,1.0
11,12,0.08333333333333326,1.0,20000,290,1.0
13,12,0.08333333333333337,1.0,20000,303,1.0
14,12,0.0,1.0,20000,342,1.0
15,12,0.25,0.40187990600469975,20000,98,1.0
16,12,0.0,1.0,20000,373,1.0
17,12,0.25,0.3687315634218289,20000,79,1.0
18,12,0.16666666666666663,0.5905204739763011,20000,148,1.0
19,12,0.25,0.31643417829108544,20000,56,1.0
20,12,0.08333333333333326,1.0,20000,472,1.0
21,12,0.08333333333333326,1.0,20000,251,1.0
22,12,0.08333333333333326,1.0,20000,496,1.0
0,13,-0.16666666666666663,0.5909704514774261,20000,150,1.0
1,13,0.08333333333333326,1.0,20000,263,1.0
2,13,0.25,0.32193390330483473,20000,70,1.0
3,13,0.08333333333333337,1.0,20000,433,1.0
4,13,0.16666666666666663,0.480225988700565,20000,120,1.0
5,13,0.08333333333333326,1.0,20000,396,1.0
6,13,0.16666666666666663,0.4716264186790661,20000,109,1.0
7,13,0.16666666666666663,0.48037598120093994,20000,121,1.0
8,13,0.0,1.0,20000,329,1.0
9,13,0.0,1.0,20000,286,1.0
10,13,-0.08333333333333326,1.0,20000,274,1.0
11,13,-0.41666666666666663,0.037798110094495276,20000,5,1.0
12,13,-0.08333333333333326,1.0,20000,313,1.0
14,13,-0.25,0.31318434078296087,20000,48,1.0
15,13,0.08333333333333326,1.0,20000,380,1.0
16,13,-0.08333333333333337,1.0,20000,414,1.0
17,13,0.0,1.0,20000,408,1.0
18,13,-0.16666666666666663,0.5949702514874257,20000,160,1.0
19,13,0.0,1.0,20000,479,1.0
20,13,0.0,1.0,20000,460,1.0
21,13,0.16666666666666663,0.5879706014699265,20000,138,1.0
22,13,-0.16666666666666674,0.6364181790910455,20000,168,1.0
0,14,-0.16666666666666663,0.48112594370281486,20000,122,1.0
1,14,0.08333333333333326,1.0,20000,264,1.0
2,14,0.16666666666666663,0.5861706914654268,20000,131,1.0
3,14,-0.08333333333333326,1.0,20000,434,1.0
4,14,0.0,1.0,20000,419,1.0
5,14,-0.08333333333333337,1.0,20000,397,1.0
6,14,0.08333333333333326,1.0,20000,367,1.0
7,14,0.16666666666666663,0.5949202539873006,20000,159,1.0
8,14,0.16666666666666663,0.6016699165041748,20000,163,1.0
9,14,-0.16666666666666663,0.47452627368631567,20000,112,1.0
10,14,-0.33333333333333337,0.09364531773411329,20000,17,1.0
11,14,-0.5,0.0359982000899955,20000,2,1.0
12,14,0.0,1.0,20000,310,1.0
13,14,-0.16666666666666663,0.4784760761961902,20000,117,1.0
15,14,-0.08333333333333337,1.0,20000,381,1.0
16,14,-0.16666666666666663,0.6806159692015399,20000,222,1.0
17,14,0.08333333333333337,1.0,20000,409,1.0
18,14,-0.08333333333333326,1.0,20000,452,1.0
19,14,-0.16666666666666663,0.47992600369981503,20000,119,1.0
20,14,-0.16666666666666669,0.687365631718414,20000,237,1.0
21,14,-0.08333333333333337,1.0,20000,252,1.0
22,14,-0.08333333333333337,1.0,20000,498,1.0
0,15,0.08333333333333337,1.0,20000,268,1.0
